license,version,country,use,deed
by,1.0,all,20000,none
by,2.0,all,700000,none
by,2.0,be,30000,deed.nl
by,2.0,cl,20000,none
by,2.0,de,70000,none
by,2.0,fr,110000,none
by,2.0,it,30000,none
by,2.0,kr,120000,none
by,2.0,uk,120000,none
by,2.1,jp,300000,none
by,2.5,all,830000,none
by,2.5,ar,50000,none
by,2.5,ar,20000,deed.es_ar
by,2.5,ar,50000,deed.es_es
by,2.5,au,410000,none
by,2.5,bg,70000,none
by,2.5,br,160000,none
by,2.5,ca,30000,none
by,2.5,co,10000,none
by,2.5,all,10000,deed.es
by,2.5,all,20000,deed.ru
by,2.5,dk,390000,deed.en_gb
by,2.5,es,260000,none
by,2.5,es,20000,deed.gl
by,2.5,hr,10000,none
by,2.5,hu,720000,none
by,2.5,il,10000,none
by,2.5,in,30000,none
by,2.5,it,310000,none
by,2.5,mx,20000,none
by,2.5,my,10000,none
by,2.5,pe,30000,none
by,2.5,pl,60000,none
by,2.5,pt,10000,none
by,2.5,se,40000,none
by,2.5,tw,50000,none
by,2.5,za,10000,none
by,3.0,all,32290000,none
by,3.0,at,10000,none
by,3.0,au,220000,none
by,3.0,au,10000,deed.en
by,3.0,br,180000,none
by,3.0,br,20000,deed.pt_br
by,3.0,cl,10000,none
by,3.0,cz,30000,none
by,3.0,de,90000,none
by,3.0,all,210000,deed.ar
by,3.0,all,10000,deed.ca
by,3.0,all,150000,deed.de
by,3.0,all,30000,deed.en
by,3.0,all,40000,deed.en_gb
by,3.0,all,500000,deed.en_us
by,3.0,all,10000,deed.eo
by,3.0,all,280000,deed.es
by,3.0,all,30000,deed.es_cl
by,3.0,all,110000,deed.es_co
by,3.0,all,150000,deed.es_es
by,3.0,all,90000,deed.eu
by,3.0,all,150000,deed.fr
by,3.0,all,510000,deed.it
by,3.0,all,440000,deed.ja
by,3.0,all,10000,deed.ko
by,3.0,all,70000,deed.nl
by,3.0,all,190000,deed.pt
by,3.0,all,60000,deed.pt_br
by,3.0,all,150000,deed.ru
by,3.0,all,10000,deed.th
by,3.0,all,40000,deed.zh
by,3.0,all,50000,deed.zh_hk
by,3.0,all,10000,deed.zh_tw
by,3.0,ec,10000,none
by,3.0,es,3430000,none
by,3.0,es,530000,deed.ca
by,3.0,es,70000,deed.en
by,3.0,es,240000,deed.es
by,3.0,es,10000,deed.es_es
by,3.0,fr,10000,none
by,3.0,gr,310000,none
by,3.0,hr,20000,none
by,3.0,it,200000,none
by,3.0,it,10000,deed.es_es
by,3.0,it,20000,deed.it
by,3.0,it,10000,deed.pt
by,3.0,nl,20000,none
by,3.0,nl,80000,deed.nl
by,3.0,no,40000,none
by,3.0,nz,90000,none
by,3.0,ph,10000,none
by,3.0,pl,20000,none
by,3.0,rs,90000,none
by,3.0,th,110000,none
by,3.0,us,6720000,none
by,3.0,us,10000,deed.en_us
by,4.0,all,1850000,none
by,4.0,all,100000,deed.en_us
by,4.0,all,30000,deed.es_es
by,4.0,all,110000,deed.it
by-nc,2.0,all,70000,none
by-nc,2.0,at,30000,none
by-nc,2.0,cl,70000,none
by-nc,2.0,de,110000,none
by-nc,2.0,fr,80000,none
by-nc,2.0,kr,360000,none
by-nc,2.0,uk,160000,none
by-nc,2.1,jp,60000,none
by-nc,2.5,all,360000,none
by-nc,2.5,ar,130000,none
by-nc,2.5,ar,10000,deed.es_ar
by-nc,2.5,au,80000,none
by-nc,2.5,bg,120000,deed.en
by-nc,2.5,br,210000,none
by-nc,2.5,ca,60000,none
by-nc,2.5,cn,120000,none
by-nc,2.5,dk,10000,none
by-nc,2.5,es,200000,none
by-nc,2.5,hu,690000,none
by-nc,2.5,in,10000,none
by-nc,2.5,it,260000,none
by-nc,2.5,mx,50000,none
by-nc,2.5,pl,10000,none
by-nc,2.5,pt,50000,none
by-nc,2.5,pt,40000,deed.en
by-nc,2.5,se,10000,none
by-nc,2.5,si,30000,none
by-nc,2.5,tw,60000,none
by-nc,2.5,za,20000,none
by-nc,3.0,all,4460000,none
by-nc,3.0,au,10000,none
by-nc,3.0,br,120000,none
by-nc,3.0,br,20000,deed.pt_br
by-nc,3.0,cn,20000,none
by-nc,3.0,cz,120000,none
by-nc,3.0,de,110000,none
by-nc,3.0,all,10000,deed.ca
by-nc,3.0,all,70000,deed.cs
by-nc,3.0,all,20000,deed.de
by-nc,3.0,all,10000,deed.el
by-nc,3.0,all,10000,deed.en_gb
by-nc,3.0,all,1550000,deed.en_us
by-nc,3.0,all,80000,deed.es
by-nc,3.0,all,20000,deed.es_cl
by-nc,3.0,all,50000,deed.es_co
by-nc,3.0,all,180000,deed.es_es
by-nc,3.0,all,20000,deed.eu
by-nc,3.0,all,100000,deed.fr
by-nc,3.0,all,30000,deed.it
by-nc,3.0,all,20000,deed.ja
by-nc,3.0,all,30000,deed.nl
by-nc,3.0,all,30000,deed.pt
by-nc,3.0,all,30000,deed.pt_br
by-nc,3.0,all,10000,deed.zh
by-nc,3.0,es,480000,none
by-nc,3.0,es,10000,deed.ca
